Name,Born,Height,Weight,Division,Reach,Style
Rob Kimmons,"(1981-01-30) January 30, 1981 (age 38)Kansas City, Missouri, United States",5 ft 10 in (1.78 m),170 lb (77 kg; 12 st),Welterweight  Middleweight  Light Heavyweight,Not Available,Not Available
Chris Tuchscherer,"(1975-09-08) September 8, 1975 (age 43)Rugby, North Dakota, United States",6 ft 2 in (1.88 m),260.9 lb (118 kg; 18 st 9 lb),Heavyweight,76.0 in (193 cm),Not Available
Maciej Jewtuszko,"(1981-01-31) January 31, 1981 (age 38)Szczecin, Poland",6 ft 0 in (1.83 m),155 lb (70 kg; 11.1 st),Lightweight,74.0 in (188 cm),Not Available
Carlos Eduardo Rocha,"Carlos Eduardo Kuhrau (1981-07-12) July 12, 1981 (age 38)Cabedelo, Paraiba, Brazil",5 ft 10 in (1.78 m),170 lb (77 kg; 12 st),Welterweight,73 in (190 cm),Not Available
Antonio Banuelos,"Juan Antonio Banuelos (1979-09-23) September 23, 1979 (age 39)Tulare, California, United States",5 ft 3 in (1.60 m),125 lb (57 kg; 8.9 st),Bantamweight  Flyweight,63 in (160 cm),"Kajukenbo, Wrestling"
Paul Kelly,"(1984-09-12) 12 September 1984 (age 34)Liverpool, England",5 ft 9 in (1.75 m),155 lb (70 kg; 11.1 st),"Lightweight(2009-2012)Welterweight(2006-2009,2012-present)Middleweight (2005-2006)",70.0 in (178 cm),Not Available
Paul Taylor,"(1979-12-15) 15 December 1979 (age 39)Walsall, England",6 ft 0 in (1.83 m),155 lb (70 kg; 11.1 st),LightweightWelterweight,Not Available,Not Available
Gabe Ruediger,"(1977-08-29) August 29, 1977 (age 41)Topanga Canyon, California, United States",5 ft 10 in (1.78 m),156.6 lb (71.0 kg; 11.19 st),Lightweight (155 lb),70.0 in (178 cm)[1],Not Available
Tim Hague,"Timothy Edward Lee Hague(1983-05-09)May 9, 1983Boyle, Alberta, Canada",6 ft 4 in (1.93 m),265 lb (120 kg; 18 st 13 lb),Heavyweight (265 lb),76 in (190 cm),"Wrestling, BJJ, Boxing"
Mike Guymon,"(1974-09-17) September 17, 1974 (age 44)Newport Beach, California, U.S.",6 ft 0 in (1.83 m),155 lb (70 kg; 11.1 st),"Lightweight,  welterweight, and middleweight",Not Available,Not Available
Willamy Freire,"(1987-07-28) 28 July 1987 (age 31)Fortaleza, Ceará, Brazil",5 ft 8 in (1.73 m),155 lb (70 kg; 11.1 st),Lightweight,Not Available,Not Available
Marcus Davis,"Marcus Paul Davis (1973-08-24) August 24, 1973 (age 45)Houlton, Maine, United States",5 ft 8 in (1.73 m),171.5 lb (77.8 kg; 12.25 st)[1],MiddleweightWelterweightLightweight,70,Not Available
Phil Baroni,"Philip George Baroni (1976-04-16) April 16, 1976 (age 43)[1]Long Island, New York, United States",5 ft 9 in (1.75 m),210 lb (95 kg; 15 st 0 lb),MiddleweightWelterweight,72.0 in (183 cm),Not Available
Greg Soto,"Gregory Francis Soto (1986-06-03) June 3, 1986 (age 33)New York, New York, United States",5 ft 11 in (1.80 m),170 lb (77 kg; 12 st),Welterweight,Not Available,Not Available
Antonio McKee,"(1970-03-12) March 12, 1970 (age 49)Las Vegas, Nevada, United States",5 ft 8 in (1.73 m),162 lb (73 kg; 11.6 st),Lightweight,Not Available,"Wrestling, Judo, BJJ, Kickboxing, Boxing, Karate,"
Joe Doerksen,"(1977-10-09) October 9, 1977 (age 41)New Bothwell, Manitoba, Canada",6 ft 0 in (1.83 m),185 lb (84 kg; 13.2 st),Middleweight,74.0 in (188 cm)[1],Not Available
Dustin Hazelett,"(1986-04-29) April 29, 1986 (age 33)Louisa, Kentucky, United States",6 ft 1 in (1.85 m),155 lb (70 kg; 11.1 st),Lightweight (155 lb)Welterweight (170 lb),77.0 in (196 cm),Not Available
Tyler Toner,"Colorado, United States",5 ft 9 in (1.75 m),145 lb (66 kg; 10.4 st),Featherweight,Not Available,Not Available
Sako Chivitchian,"Sarkis Chivitchian[1] (1984-03-11) March 11, 1984 (age 35)Armenian SSR, Soviet Union[1]",5 ft 11 in (1.80 m),155 lb (70 kg; 11.1 st),LightweightWelterweight (formerly),71 in (180 cm),Not Available
Fredson Paixão,"(1979-05-13) May 13, 1979 (age 40)Parintins, Amazonas, Brazil",5 ft 6 in (1.68 m),145 lb (66 kg; 10.4 st),Featherweight,Not Available,"Brazilian Jiu-Jitsu, Boxing, MMA"
Maiquel Falcão,"Maiquel José Falcão Gonçalves (1981-03-08) March 8, 1981 (age 38)Pelotas, Rio Grande Do Sul, Brazil",5 ft 9 in (1.75 m),185 lb (84 kg; 13.2 st),HeavyweightLight HeavyweightMiddleweight,71 in (180 cm),Not Available
Gerald Harris,"(1979-11-19) November 19, 1979 (age 39)Tulsa, Oklahoma, United States",5 ft 11 in (1.80 m),170 lb (77 kg; 12 st),Welterweight  Middleweight (formerly),Not Available,Not Available
Brian Foster,"(1984-04-03) April 3, 1984 (age 35)Sallisaw, Oklahoma, United States",5 ft 10 in (1.78 m),155 lb (70 kg; 11.1 st),WelterweightLightweight,73.0 in (185 cm),Not Available
Karo Parisyan,"Karapet Parisyan (1982-08-28) August 28, 1982 (age 36)Yerevan, Armenian SSR, Soviet Union (today Armenia)",5 ft 10 in (178 cm),170 lb (77 kg; 12 st 2 lb),Welterweight,75.5 in (192 cm),Not Available
Goran Reljic,"(1984-03-20) 20 March 1984 (age 35)Zadar, Socialist Federal Republic of Yugoslavia   today Croatia",6 ft 3 in (1.91 m),205 lb (93 kg; 14.6 st),"Middleweight (2009–2010)  Light Heavyweight (2004–2008, 2010–present)  Heavyweight (2012)",81 in (206 cm),"Boxing, BJJ"
Nick Osipczak,"Nicholas Dominic Osipczak (1984-12-30) 30 December 1984 (age 34)London, England",6 ft 3 in (191 cm),170 lb (77 kg; 12 st 2 lb),Welterweight,76 in (193 cm),"Tai Chi Chuan, Brazilian Jiu Jitsu"
Alexandre Ferreira,"Rio de Janeiro, Brazil",5 ft 7 in (1.70 m),205 lb (93 kg; 14.6 st),Light Heavyweight[1],Not Available,Not Available
Seth Petruzelli,"Seth Christopher Petruzelli (1979-12-03) December 3, 1979 (age 39)Cape Coral, Florida, United States",6 ft 2 in (1.88 m),254.6 lb (115.5 kg; 18.19 st),HeavyweightLight Heavyweight,75 in (191 cm),Not Available
Gilbert Yvel,"Gilbert Ramon Yvel (1976-06-30) June 30, 1976 (age 43)Amsterdam, Netherlands",6 ft 2 in (188 cm),275.8 lb (125 kg; 19 st 10 lb),Super HeavyweightHeavyweightLight Heavyweight,77 in (196 cm),Not Available
James Wilks,"James Brett Wilks (1978-04-05) 5 April 1978 (age 41)Leicestershire, England",6 ft 1 in (1.85 m),170 lb (77 kg; 12 st),Welterweight,75 in (190 cm),Not Available
Vinicius Queiroz,"Vinicius Kappke de Queiroz (1983-08-29) August 29, 1983 (age 35)[1]Curitiba, Brazil",6 ft 7 in (2.01 m),233.6 lb (106 kg; 16 st 10 lb),Heavyweight,79.5 in (202 cm),Not Available
Mark Holst,"(1985-08-14) August 14, 1985 (age 33)Ottawa, Ontario, Canada",6 ft 0 in (1.83 m),153 lb (69 kg; 10.9 st),"Lightweight, Welterweight",74 in (190 cm),Not Available
James McSweeney,"James Adam McSweeney (1980-10-24) 24 October 1980 (age 38)London, England",6 ft 4 in (1.93 m),206 lb (93 kg; 14.7 st),Heavyweight  Light Heavyweight,77.0 in (196 cm),Not Available
Matt Serra,"Matthew John Serra (1974-06-02) June 2, 1974 (age 45)East Meadow, New York, United States",5 ft 6 in (1.68 m),170 lb (77 kg; 12 st)[1],"Welterweight (1999–2002, 2005–13)  Lightweight (2002–05)",69 in (180 cm),"Wing Chun, Brazilian Jiu-Jitsu, Boxing"
Sean Sherk,"Sean Keith Sherk (1973-08-05) August 5, 1973 (age 45)St. Francis, Minnesota, United States",5 ft 6 in (1.68 m),155 lb (70 kg; 11.1 st),Lightweight (2006–2010)Welterweight (1999–2006),67 in (170 cm)[1][2],"Wrestling, Boxing"
John Gunderson,"(1980-05-01) May 1, 1980 (age 39)Houston Texas., United States",5 ft 9 in (1.75 m),155 lb (70 kg; 11.1 st),LightweightWelterweight,69.0 in (175 cm)[1],Not Available
Tomasz Drwal,"(1982-01-22) January 22, 1982 (age 37)Nowy Sącz, Poland[1]",6 ft 1 in (1.85 m),185 lb (84 kg; 13.2 st),Middleweight  Light Heavyweight,76.0 in (193 cm)[2],Not Available
Forrest Petz,"(1975-09-22) September 22, 1975 (age 43)Cleveland, Ohio, United States",5 ft 10 in (178 cm),170 lb (77 kg; 12 st 2 lb),Welterweight,73 in (185 cm),Not Available
James Toney,"James Nathaniel Toney (1968-08-24) August 24, 1968 (age 50)Ann Arbor, Michigan, U.S.[1]",5 ft 10 in (178 cm),Not Available,Middleweight,72 in (183 cm),Not Available
John Salter,"(1985-03-21) March 21, 1985 (age 34)Gardendale, Alabama, United States",6 ft 1 in (1.85 m),186 lb (84 kg; 13.3 st),Middleweight,74 in (188 cm),Not Available
Rodney Wallace,"Rodney Wallace (1981-11-21) November 21, 1981 (age 37)Bamberg, South Carolina, United States",5 ft 9 in (1.75 m),220 lb (100 kg; 16 st),HeavyweightLight Heavyweight,72.0 in (183 cm),Not Available
James Irvin,"(1978-09-12) September 12, 1978 (age 40)Huntington Beach, California, United States",6 ft 2 in (1.88 m),200.6 lb (91 kg; 14 st 5 lb),HeavyweightLight Heavyweight  Middleweight,75.0 in (191 cm),Not Available
Steve Steinbeiss,"Steve Thomas Steinbeiss (1981-05-05) May 5, 1981 (age 38)",6 ft 3 in (1.91 m),185 lb (84 kg; 13.2 st),Not Available,Not Available,Not Available
Keith Jardine,"(1975-10-31) October 31, 1975 (age 43)Butte, Montana, United States",6 ft 2 in (1.88 m),185.5 lb (84.1 kg; 13.25 st),MiddleweightLight HeavyweightHeavyweight,76 in (193 cm),"Gaidojutsu, Greco-Roman Wrestling, Boxing"
Chuck Liddell,"Charles David Liddell (1969-12-17) December 17, 1969 (age 49)Santa Barbara, California, United States",6 ft 2 in (188 cm),203 lb (92 kg; 14 st 7 lb),Light Heavyweight (1998–2010)Heavyweight (2018),76 1⁄2 in (194 cm),"Kickboxing, Kajukenbo, Karate, Wrestling, Brazilian Jiu-Jitsu"
David Loiseau,"(1979-12-17) December 17, 1979 (age 39)Montreal, Quebec, Canada",6 ft 0 in (1.83 m),185 lb (84 kg; 13.2 st),Middleweight,Not Available,Not Available
Jesse Lennox,"Cedar Rapids, Iowa, United States",5 ft 9 in (1.75 m),170 lb (77 kg; 12 st),Welterweight,Not Available,Not Available
Dan Lauzon,"(1988-03-30) March 30, 1988 (age 31)Brockton, Massachusetts, United States",6 ft 0 in (1.83 m),155 lb (70 kg; 11.1 st),Lightweight,72 in (180 cm),"BJJ, Submission Wrestling, Boxing, Pro Wrestling, Wrestling,"
Jesse Forbes,"(1984-10-24) October 24, 1984 (age 34)Portland, Maine, United States",6 ft 2 in (1.88 m),185 lb (84 kg; 13.2 st),Light HeavyweightMiddleweight,75.0 in (191 cm),Not Available
Paul Daley,"Paul Anthony Daley (1983-02-21) 21 February 1983 (age 36)[1]Nottingham, England[2]",5 ft 9 in (1.75 m)[3],170 3⁄4 lb (77.5 kg; 12.20 st),Welterweight,76 in (190 cm)[4],Not Available
Kimbo Slice,"Kevin Ferguson(1974-02-08)February 8, 1974Nassau, Bahamas",6 ft 2 in (188 cm)[1],235 lb (107 kg; 16.8 st),Heavyweight,77 in (200 cm),"Boxing, Wrestling"
Jonathan Goulet,"(1979-07-13) July 13, 1979 (age 40)Victoriaville, Quebec, Canada",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),Welterweight,Not Available,Not Available
Yoshiyuki Yoshida,"(1974-05-10) May 10, 1974 (age 45)Tokyo, Japan",5 ft 11 in (1.80 m),167 lb (76 kg; 11.9 st),Welterweight,70.0 in (178 cm),Not Available
Renzo Gracie,"(1967-03-11) March 11, 1967 (age 52)Rio de Janeiro, Brazil",5 ft 10 in (1.78 m),171 lb (78 kg; 12 st 3 lb),Welterweight  Middleweight,Not Available,"Gracie Jiu-Jitsu, Judo, Submission Wrestling, Kickboxing"
Brad Blackburn,"(1977-05-25) May 25, 1977 (age 42)Los Angeles, California, United States",5 ft 10 in (1.78 m),170 lb (77 kg; 12 st),Welterweight,73.0 in (185 cm),Not Available
Matt Veach,"(1981-05-31) May 31, 1981 (age 38)Springfield, Illinois, United States",5 ft 7 in (1.70 m),170 lb (77 kg; 12 st),LightweightWelterweight,Not Available,Not Available
Mostapha al-Turk,"(1973-07-14) 14 July 1973 (age 45)Beirut, Lebanon[1]",6 ft 2 in (188 cm),235 lb (107 kg; 16 st 11 lb),Heavyweight (265),77 1⁄2 in (197 cm),Not Available
Nate Quarry,"(1972-03-19) March 19, 1972 (age 47)Arcata, California, U.S.",6 ft 0 in (1.83 m),185 lb (84 kg; 13.2 st),Middleweight,72 1⁄2 in (184 cm),"Muay Thai, Brazilian Jiu Jitsu"
Rob Emerson,"Robert Michael Emerson (1981-07-30) July 30, 1981 (age 37)Newport Beach, California, United States",5 ft 9 in (1.75 m),149 lb (68 kg; 10.6 st),Lightweight (2002–2012)Featherweight (2013–present)Bantamweight (2014–present),71.0 in (180 cm)[1],Not Available
Caol Uno,"(1975-05-08) May 8, 1975 (age 44)Yokosuka, Kanagawa, Japan",5 ft 7 in (1.70 m),143 lb (65 kg; 10.2 st),Featherweight  Lightweight,70 in (180 cm)[1],"Catch wrestling, Judo, Shootfighting"
Fabricio Camoes,"Fabrício dos Santos Camões (1978-12-23) December 23, 1978 (age 40)Rio de Janeiro, Brazil[1]",5 ft 9 in (1.75 m)[1],155 lb (70 kg; 11.1 st)[1],Lightweight,72 1⁄2 in (184 cm),Not Available
Rory Markham,"(1982-03-25) March 25, 1982 (age 37)Oak Lawn, Illinois, United States",5 ft 10 in (1.78 m),185 lb (84 kg; 13.2 st),MiddleweightWelterweight,71.0 in (180 cm),Not Available
Paul Buentello,"(1974-01-16) January 16, 1974 (age 45)Amarillo, Texas, United States",6 ft 2 in (1.88 m),261 lb (118 kg; 18 st 9 lb),HeavyweightLight heavyweight,76.0 in (193 cm)[1],Not Available
Shannon Gugerty,"(1981-12-30) December 30, 1981 (age 37)San Diego, California, United States",5 ft 10 in (1.78 m),155 lb (70 kg; 11.1 st),Lightweight  Featherweight,71 in (180 cm)[1],Not Available
Chase Gormley,"(1983-08-11) August 11, 1983 (age 35)Torrance, California, United States",6 ft 3 in (1.91 m),265 lb (120 kg; 18.9 st),HeavyweightSuper Heavyweight,77 in (196 cm),Not Available
Mark Coleman,"Mark Daniel Coleman (1964-12-20) December 20, 1964 (age 54)Fremont, Ohio, U.S.",6 ft 1 in (1.85 m),205 lb (93 kg; 14 st 9 lb),Light heavyweight (2009–2010)  Heavyweight (1996–2006),75 in (191 cm),Not Available
Frank Trigg,"Dewey Franklin Trigg III (1972-05-07) May 7, 1972 (age 47)Kendall, New York, United States",5 ft 8 in (1.73 m)[1][2],181 lb (82 kg; 12.9 st)[2][1],WelterweightMiddleweight,71 in (180 cm),Not Available
Justin Buchholz,"(1983-08-22) August 22, 1983 (age 35)Fairbanks, Alaska, United States",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),WelterweightLightweight,Not Available,Not Available
Rolles Gracie Jr.,"(1978-07-14) July 14, 1978 (age 40)[1]Rio de Janeiro, Brazil[1]",6 ft 4 in (193 cm)[1],249 lb (113 kg; 17 st 11 lb),Heavyweight,80 in (203 cm),"BJJ, GJJ, Pro Wrestling, Judo, Gaidojutsu, Submission Wrestling"
Jay Silva,"(1981-05-25) May 25, 1981 (age 38)Luanda, Angola",6 ft 2 in (1.88 m),225.8 lb (102.4 kg; 16.13 st),HeavyweightLight HeavyweightMiddleweight,75 in (191 cm),Not Available
Kyle Bradley,"(1982-08-19) August 19, 1982 (age 36)Baton Rouge, Louisiana, United States",5 ft 9 in (175 cm),155 lb (70 kg; 11 st 1 lb),Welterweight  Lightweight  Featherweight,71 in (180 cm),Not Available
Wilson Gouveia,"(1978-10-03) October 3, 1978 (age 40)Fortaleza Ceará, Brazil",6 ft 2 in (1.88 m),219 lb (99 kg; 15.6 st),Heavyweight Light Heavyweight Middleweight,76 in (190 cm),Not Available
Shane Nelson,"(1984-11-29) November 29, 1984 (age 34)Honolulu, Hawaii, United States",5 ft 9 in (1.75 m),146 lb (66 kg; 10.4 st),Featherweight Lightweight,70 in (180 cm),Not Available
Edgar Garcia,"(1984-02-22) February 22, 1984 (age 35)San Luis Rio Colorado, Sonora, Mexico",5 ft 10 in (1.78 m),"170 lb (77 kg; 12 st), 185 lb (84 kg; 13.2 st)",Welterweight  Middleweight (current),71.0 in (180 cm)[1],Not Available
Kevin Burns,"(1980-03-03) March 3, 1980 (age 39)Carroll, Iowa, United States",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),Welterweight,74 in (190 cm),Not Available
Houston Alexander,"(1972-03-22) March 22, 1972 (age 47)East St. Louis, Illinois, United States",6 ft 0 in (183 cm),203 lb (92 kg; 14 st 7 lb),Light heavyweight  Heavyweight,72 in (183 cm),Not Available
Justin Wren,"Justin Christopher Wren (1987-04-27) April 27, 1987 (age 32)Dallas, Texas, United States",6 ft 2 in (1.88 m),234.4 lb (106.3 kg; 16.74 st),Heavyweight,75 in (191 cm),Not Available
Jake Rosholt,"(1982-09-02) September 2, 1982 (age 36)Sandpoint, Idaho, U.S.",6 ft 1 in (1.85 m),205 lb (93 kg; 14.6 st),Middleweight (2007-2011)  Light Heavyweight (2012-present),74.0 in (188 cm),Not Available
Brock Larson,"(1977-08-23) August 23, 1977 (age 41)Brainerd, Minnesota, United States",6 ft 0 in (1.83 m),185 lb (84 kg; 13.2 st),Middleweight  Welterweight,71.0 in (180 cm)[1],Not Available
Jason Dent,"(1980-06-12) June 12, 1980 (age 39)Madison, Ohio, United States",5 ft 9 in (1.75 m),155 lb (70 kg; 11.1 st),Lightweight,Not Available,Not Available
Denis Kang,"(1977-09-17) September 17, 1977 (age 41)Saint-Pierre, Saint Pierre and Miquelon, France",5 ft 11 in (1.80 m),185 lb (84 kg; 13.2 st),Middleweight  Light Heavyweight,77.0 in (196 cm)[2],"Hapkido, BJJ, Kickboxing, Taekwondo"
Rolando Delgado,"(1981-11-22) November 22, 1981 (age 37)San Diego, California, United States",6 ft 3 in (1.91 m),145 lb (66 kg; 10.4 st),"Lightweight,Featherweight",Not Available,Not Available
Antoni Hardonk,"Antoni Hardonk (1976-02-05) February 5, 1976 (age 43)Weesp, Netherlands",6 ft 4 in (193 cm),249 1⁄2 lb (113.2 kg; 17.82 st),Super Heavyweight (Kickboxing)  Heavyweight (MMA),78 in (198 cm),Not Available
Razak Al-Hassan,"(1982-05-14) May 14, 1982 (age 37)Ames, Iowa",6 ft 3 in (1.91 m),205 lb (93 kg; 14.6 st),Light Heavyweight  Heavyweight,77 in (196 cm),Not Available
Hermes França,"(1974-08-26) August 26, 1974 (age 44)Fortaleza, Brazil",5 ft 6 in (1.68 m),155 lb (70 kg; 11.1 st),Lightweight,70.5 in (179 cm),"BJJ, Boxing,"
Drew McFedries,"Michael Andrew McFedries (1978-07-27) July 27, 1978 (age 40)Ames, Iowa, United States",6 ft 0 in (1.83 m),185 lb (84 kg; 13.2 st),MiddleweightLight Heavyweight,72.0 in (183 cm),Not Available
Roger Huerta,"(1983-05-20) May 20, 1983 (age 36)Los Angeles, California, U.S.[1]",5 ft 9 in (1.75 m),170 lb (77 kg; 12 st),"Lightweight (2003–2010, 2016–present)  Welterweight (2011–2016)",70 in (178 cm),Not Available
Chris Wilson,"Christopher Ross Wilson (1977-06-07) June 7, 1977 (age 42)Portland, Oregon, United States",6 ft 1 in (1.85 m),155 lb (70 kg; 11.1 st),Lightweight (current)Welterweight (formerly),75.0 in (191 cm)[1],Not Available
Justin McCully,"(1976-02-18) February 18, 1976 (age 43)Washington DC, United States",6 ft 2 in (1.88 m),238 lb (108 kg; 17.0 st),Heavyweight,74.0 in (188 cm),Not Available
Marcus Aurelio,"(1973-08-18) August 18, 1973 (age 45)Fortaleza, Brazil",5 ft 10 in (1.78 m),155 lb (70 kg; 11.1 st),Lightweight,76 1⁄2 in (194 cm),"Brazilian Jiu Jitsu, Boxing, Wrestling"
Dan Cramer,"Daniel John Cramer (1985-10-31) October 31, 1985 (age 33)Stamford, Connecticut, United States",6 ft 1 in (1.85 m),185 lb (84 kg; 13.2 st),Light Heavyweight  Middleweight  Welterweight,75 in (191 cm)[1],Not Available
Danillo Villefort,"Danillo Villefort (1983-08-05) August 5, 1983 (age 35)Brasilia, Brazil",6 ft 1 in (1.85 m),185 lb (84 kg; 13.2 st),Welterweight  Middleweight (currently),77.5 in (197 cm),Not Available
Jake O'Brien,"(1984-09-25) September 25, 1984 (age 34)Indianapolis, Indiana, United States",6 ft 3 in (1.91 m),250.5 lb (114 kg; 17 st 13 lb),Light HeavyweightHeavyweight,Not Available,Not Available
Dale Hartt,"(1979-04-04) April 4, 1979 (age 40)Bangor, Maine, United States",5 ft 10 in (1.78 m),155 lb (70 kg; 11.1 st),Lightweight,69.0 in (175 cm)[1],Not Available
Brandon Wolff,"(1975-10-18) October 18, 1975 (age 43)Kailua, Oahu, Hawaii, United States",5 ft 9 in (1.75 m),170 lb (77 kg; 12 st),Welterweight,Not Available,Not Available
David Bielkheden,"(1979-06-06) June 6, 1979 (age 40)Stockholm, Sweden",5 ft 10 in (1.78 m),169.3 lb (76.8 kg; 12.09 st),"Lightweight (2006, 2008-2010)  Welterweight (2001-2008, 2010-)",Not Available,Not Available
Ryo Chonan,"(1976-10-08) October 8, 1976 (age 42)Tsuruoka, Yamagata, Japan",5 ft 9 in (1.75 m),170 lb (77 kg; 12 st),WelterweightMiddleweight,Not Available,"Karate, Muay Thai, Submission Wrestling"
Carmelo Marrero,"(1981-01-26) January 26, 1981 (age 38)Philadelphia, Pennsylvania",6 ft 2 in (1.88 m),255 lb (116 kg; 18.2 st),Heavyweight  Light Heavyweight,73.5 in (187 cm)[1],Not Available
Junie Browning,"Junie Allen Browning (1985-05-12) May 12, 1985 (age 34)Lexington, Kentucky, United States",5 ft 9 in (1.75 m),180 lb (82 kg; 13 st),LightweightWelterweightMiddleweight,72 in (180 cm),Not Available
Matt Horwich,"Matthew Peter Horwich (1978-10-02) October 2, 1978 (age 40)Seattle, Washington, United States",5 ft 11 in (1.80 m),185.6 lb (84.2 kg; 13.26 st),MiddleweightLight Heavyweight,75 in (190 cm),Not Available
Joe Vedepo,"Jody David VeDepo (1983-01-01) January 1, 1983 (age 36)Iowa City, Iowa, United States",6 ft 0 in (1.83 m),205 lb (93 kg; 14.6 st),HeavyweightLight HeavyweightMiddleweight,74.0 in (188 cm),Not Available
Tim McKenzie,"Santa Clara, California, United States",5 ft 11 in (1.80 m),170 lb (77 kg; 12 st),Light HeavyweightMiddleweightWelterweight,Not Available,Not Available
Pete Sell,"(1982-08-05) August 5, 1982 (age 36)",5 ft 11 in (1.80 m),171 lb (78 kg; 12.2 st),MiddleweightWelterweight,75 in (190 cm),Not Available
Mark Munoz,"(1978-02-09) February 9, 1978 (age 41)Yokosuka, Japan",6 ft 0 in (1.83 m),185 lb (84 kg; 13 st 3 lb),Middleweight (2009 – 2015)  Light Heavyweight (2007–2009),72 in (180 cm)[1],"Wrestling, Muay Thai, Brazilian Jiu-Jitsu"
Jason Day,"(1979-03-18) March 18, 1979 (age 40)Lethbridge, Alberta, Canada",6 ft 0 in (1.83 m),185 lb (84 kg; 13.2 st),Middleweight,Not Available,Not Available
Per Eklund,"(1980-11-12) November 12, 1980 (age 38)Stockholm, Sweden",5 ft 10 in (1.78 m)[1],145 lb (66 kg; 10.4 st) [1],FeatherweightLightweightWelterweight,72.0 in (183 cm),Not Available
Luigi Fioravanti,"(1981-01-22) January 22, 1981 (age 38)Orlando, Florida, United States",5 ft 9 in (1.75 m),170 lb (77 kg; 12 st),Welterweight,70 in (180 cm)[1],"Boxing, Brazilian Jiu-Jitsu"
Rich Clementi,"(1977-03-31) March 31, 1977 (age 42)Edison, New Jersey, United States",5 ft 9 in (1.75 m),155 lb (70 kg; 11.1 st),Lightweight  Welterweight,72 1⁄2 in (184 cm),Not Available
Steve Bruno,"(1981-11-03) November 3, 1981 (age 37)Brooklyn, New York, United States",5 ft 10 in (1.78 m),174.3 lb (79.1 kg; 12.45 st),Welterweight,Not Available,Not Available
Akihiro Gono,"(1974-10-07) October 7, 1974 (age 44)Higashikurume, Tokyo, Japan",5 ft 9 in (1.75 m),156 lb (71 kg; 11.1 st),LightweightWelterweightMiddleweightLight HeavyweightHeavyweight,Not Available,Not Available
Christian Wellisch,"(1975-09-13) September 13, 1975 (age 43)Budapest, Hungary",6 ft 2 in (1.88 m),206 lb (93 kg; 14.7 st),HeavyweightLight Heavyweight,77.5 in (197 cm),Not Available
Matt Arroyo,"(1982-09-01) September 1, 1982 (age 36)Cobleskill, New York, United States",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),Welterweight,Not Available,Not Available
Jeremy Horn,"(1975-08-25) August 25, 1975 (age 43)Omaha, Nebraska",6 ft 1 in (1.85 m),186 lb (84 kg; 13.3 st),Middleweight (185)  Light Heavyweight (205)  Heavyweight (265),Not Available,Not Available
Nate Mohr,"(1983-03-03) March 3, 1983 (age 36)Davenport, Iowa, United States",5 ft 9 in (1.75 m),155 lb (70 kg; 11.1 st),Lightweight,Not Available,Not Available
Dean Lister,"(1976-02-13) February 13, 1976 (age 43)San Diego, California, U.S.",6 ft 1 in (185 cm),220 lb (100 kg; 15 st 10 lb),Middleweight  Light Heavyweight  Heavyweight,75 in (191 cm),"Wrestling, Brazilian jiu-jitsu, Sambo, Submission Wrestling."
Mike Wessel,"Michael Wade Wessel (1977-12-02) December 2, 1977 (age 41)Celina, Ohio, United States",6 ft 0 in (1.83 m),255.5 lb (115.9 kg; 18.25 st),Heavyweight,71 in (180 cm),Not Available
Reese Andy,"(1973-03-31) March 31, 1973 (age 46)Minot, North Dakota, United States",6 ft 0 in (1.83 m),205 lb (93 kg; 14.6 st),Light HeavyweightHeavyweight (formerly),Not Available,Not Available
Dan Evensen,"Dan Tore Evensen (1974-06-01) June 1, 1974 (age 45)Arendal, Norway",6 ft 3 in (1.91 m),252.5 lb (114.5 kg; 18.04 st),Heavyweight,Not Available,Kickboxing
John Polakowski,"(1981-06-21) June 21, 1981 (age 38)Seattle, Washington, United States",5 ft 10 in (1.78 m),155 lb (70 kg; 11.1 st),Not Available,Not Available,Not Available
Nate Loughran,"Nathaniel James LoughranRohnert Park, California, United States",6 ft 2 in (1.88 m),170 lb (77 kg; 12 st),Welterweight,Not Available,Not Available
Brodie Farber,"(1980-07-05) July 5, 1980 (age 39)Grass Valley, California, United States",6 ft 1 in (1.85 m),170 lb (77 kg; 12 st),Light HeavyweightMiddleweightWelterweight,Not Available,Not Available
Corey Hill,"(1978-10-03)October 3, 1978Martinsburg, West Virginia, United States",6 ft 4 in (1.93 m),167 lb (76 kg; 11.9 st),Lightweight  Welterweight,80 in (203 cm),Not Available
Eddie Sanchez,"(1982-11-04) November 4, 1982 (age 36)La Jolla, California, United States",6 ft 1 in (1.85 m),214.5 lb (97.3 kg; 15.32 st),Heavyweight,79 in (201 cm),Not Available
Jorge Gurgel,"Silvio Jorge Valente Gurgel (1977-01-25) January 25, 1977 (age 42)Fortaleza, Brazil",5 ft 9 in (1.75 m),190 lb (86 kg; 14 st),Lightweight (2002-present) Welterweight (2005),69,Not Available
Alvin Robinson,"(1982-07-16) July 16, 1982 (age 36)West Covina, California, United States",5 ft 9 in (1.75 m),145 lb (66 kg; 10.4 st),FeatherweightLightweight (formerly),Not Available,Not Available
