Name,Born,Height,Weight,Division,Reach,Style
Roger Narvaez,"(1983-09-09) September 9, 1983 (age 35)Corpus Christi, Texas, United States",6 ft 3 in (1.91 m),185 lb (84 kg; 13 st 3 lb),Middleweight,79.0 in (201 cm)[1],"Boxing, Brazilian Jiu-Jitsu"
Jake Lindsey,"(1986-06-21) June 21, 1986 (age 33)Manhattan, Kansas, United States",5 ft 11 in (1.80 m),155 lb (70 kg; 11 st 1 lb),Lightweight,70.0 in (178 cm)[1],Not Available
Norifumi Yamamoto,"(1977-03-15)March 15, 1977Kawasaki, Japan",5 ft 4 in (1.63 m),135 lb (61 kg; 9 st 9 lb),Bantamweight (2010–2018)  Featherweight  (2002–2009) Lightweight (2001),66 in (168 cm),"Kickboxing, Wrestling, Shootfighting"
Ruan Potts,"(1977-11-18) 18 November 1977 (age 41)Cape Town, South Africa",6 ft 2 in (1.88 m),261.2 lb (118.5 kg; 18.66 st),Light HeavyweightHeavyweight,75.0 in (191 cm)[1],Not Available
William Macário,"(1991-07-01) July 1, 1991 (age 28)Rio De Janeiro, Brazil",5 ft 11 in (1.80 m),170 lb (77 kg; 12 st),Welterweight,75.0 in (191 cm)[1],Not Available
Cody Gibson,"(1987-09-11) September 11, 1987 (age 31)Blackwell, Oklahoma, United States",5 ft 10 in (1.78 m),135 lb (61 kg; 9.6 st),Bantamweight,71.0 in (180 cm)[1],Not Available
Josh Shockley,"(1989-11-15) November 15, 1989 (age 29)Valparaiso, Indiana",6 ft 1 in (1.85 m),155 lb (70 kg; 11.1 st),Lightweight,74.5 in (189 cm),Not Available
Nick Diaz,"Nickolas Robert Diaz (1983-08-02) August 2, 1983 (age 35)Stockton, California, United States",6 ft 0 in (183 cm)[1][2],169 lb (77 kg; 12.1 st),"Lightweight (2007–2008)Welterweight (2001–2006, 2008–2013) Middleweight (2015)",76 in (193 cm)[1][3],"Boxing, Brazilian Jiu-Jitsu"
Ian McCall,"Ian Gregory McCall (1984-07-05) July 5, 1984 (age 35)Costa Mesa, California, United States",5 ft 4 in (1.63 m),125 lb (57 kg; 8 st 13 lb),Flyweight  Bantamweight,Not Available,"Wrestling, Kung Fu"
Andy Enz,"(1991-08-15) August 15, 1991 (age 27)Anchorage, Alaska, United States",6 ft 3 in (191 cm),186 lb (84 kg; 13 st 4 lb),Light HeavyweightMiddleweight,78,Not Available
Phil Davis,"Phil Kwabina Davis (1984-09-25) September 25, 1984 (age 34)Harrisburg, Pennsylvania, United States",6 ft 2 in (1.88 m),205.8 lb (93 kg; 14 st 10 lb),Light Heavyweight (205 lb),79 in (201 cm)[1],Not Available
Akira Corassani,"Hamid Khorassani (1982-08-27) August 27, 1982 (age 36)Lund, Sweden",5 ft 8 in (1.73 m),145 lb (66 kg; 10.4 st),Featherweight (2012-2015)Lightweight (2008-2011)Welterweight (2007)  Light heavyweight (2007),68 in (173 cm)[1],Not Available
Andy Ogle,"Andrew Richard Ogle (1989-02-16) 16 February 1989 (age 30)Newcastle upon Tyne, England, United Kingdom",5 ft 9 in (1.75 m),145 lb (66 kg; 10.4 st),Featherweight  Lightweight,69.0 in (175 cm)[1],Not Available
